district,district_key,population,population_index
Charlottenburg-Wilmersdorf,charlottenburg-wilmersdorf,341392,83
Friedrichshain-Kreuzberg,friedrichshain-kreuzberg,289787,71
Lichtenberg,lichtenberg,296837,72
Marzahn-Hellersdorf,marzahn-hellersdorf,273731,67
Mitte,mitte,383360,93
Neukölln,neukoelln,327945,80
Pankow,pankow,410716,100
Reinickendorf,reinickendorf,266123,65
Spandau,spandau,245527,60
Steglitz-Zehlendorf,steglitz-zehlendorf,308840,75
Tempelhof-Schöneberg,tempelhof-schoeneberg,349539,85
Treptow-Köpenick,treptow-koepenick,276165,67
