@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Aida,restaurant,10623,Charlottenburg,52.5068638,13.3228585
node,Madame Ngo,restaurant,10623,Charlottenburg,52.5062119,13.3180811
node,Nam Thu�n,restaurant,10625,Charlottenburg,52.5073199,13.3207804
node,La Rose,restaurant,14057,Charlottenburg,52.5063184,13.2846256
node,Tibet Haus,restaurant,10961,Kreuzberg,52.4907103,13.3939814
node,Curry 36,fast_food,10961,Kreuzberg,52.4934924,13.3876866
node,First Indian Restaurant,restaurant,14057,Charlottenburg,52.5068889,13.2839198
node,Canc�n,restaurant,14057,Westend,52.5103223,13.2829535
node,La Foresta (Schatulle),restaurant,13351,,52.5542713,13.3311277
node,Haus der 100 Biere,restaurant,10709,Halensee,52.4983826,13.2969979
node,Ach!NikO!Ach!,restaurant,10709,Halensee,52.4985867,13.2982491
node,Ristorante Salve,restaurant,10711,Halensee,52.5009791,13.2976442
node,Dalmacija,restaurant,13403,Reinickendorf,52.5725190,13.3082697
node,Schlemmerk�che,restaurant,13509,Reinickendorf,52.5771153,13.3073153
node,Taverna Athos,restaurant,10715,Wilmersdorf,52.4800304,13.3277157
node,Pizzaria Tamara,restaurant,13403,Reinickendorf,52.5701303,13.3098188
node,BLOCK HOUSE,restaurant,14052,Westend,52.5096736,13.2707607
node,JOE'S Restaurant & Wirtshaus,restaurant,14052,Westend,52.5098740,13.2708833
node,Lindenwirtin,restaurant,14050,Westend,52.5106205,13.2716607
node,Cancun,restaurant,10963,Kreuzberg,52.5044291,13.3827786
node,Subway,fast_food,10115,Mitte,52.5308437,13.3829698
node,Subway,fast_food,10117,,52.5158107,13.3899247
node,Bocca di Bacco,restaurant,10117,Mitte,52.5151119,13.3889084
node,Restaurant Borchardt,restaurant,10117,Mitte,52.5150034,13.3903882
node,Heritage,restaurant,10117,Mitte,52.5146890,13.3909281
node,Lutter & Wegner,restaurant,10117,Mitte,52.5132123,13.3911782
node,Victor & Victoria,restaurant,10117,,52.5124049,13.3913074
node,Maximilians,restaurant,10117,Mitte,52.5113441,13.3891811
node,Izumi Sushi Bar,restaurant,10117,Mitte,52.5112920,13.3887116
node,Beast Berlin,restaurant,10178,Mitte,52.5242900,13.4118534
node,Aapka - Restaurant Alexanderplatz,restaurant,10178,Mitte,52.5235991,13.4109696
node,Der Alte Fritz,restaurant,10178,Mitte,52.5214304,13.4092065
